edge_id,from_node_id,to_node_id,road_name,road_type,direction,distance_m,distance_derivation,free_flow_speed_kph,free_flow_time_min,speed_derivation,congestion_level_1_5,flood_risk_0_1,flood_observation_status,source_id,source_segment_id,data_status
UTR_EDGE_80351,UTR_NODE_366439444,UTR_NODE_370523230,Lê Văn Chí,tertiary,SOURCE_DIRECTED,16.000,SOURCE_LENGTH,30.000,0.032000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80351,DERIVED
UTR_EDGE_80352,UTR_NODE_366447118,UTR_NODE_5772493564,Lê Văn Chí,tertiary,SOURCE_DIRECTED,8.000,SOURCE_LENGTH,30.000,0.016000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80352,DERIVED
UTR_EDGE_80353,UTR_NODE_5772493564,UTR_NODE_366447118,Lê Văn Chí,tertiary,SOURCE_DIRECTED,8.000,SOURCE_LENGTH,30.000,0.016000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80353,DERIVED
UTR_EDGE_80354,UTR_NODE_5772493564,UTR_NODE_366440897,Lê Văn Chí,tertiary,SOURCE_DIRECTED,26.000,SOURCE_LENGTH,30.000,0.052000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80354,DERIVED
UTR_EDGE_80355,UTR_NODE_366440897,UTR_NODE_5772493564,Lê Văn Chí,tertiary,SOURCE_DIRECTED,26.000,SOURCE_LENGTH,30.000,0.052000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80355,DERIVED
UTR_EDGE_80356,UTR_NODE_366440897,UTR_NODE_5772276238,Lê Văn Chí,tertiary,SOURCE_DIRECTED,43.000,SOURCE_LENGTH,30.000,0.086000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80356,DERIVED
UTR_EDGE_80357,UTR_NODE_5772276238,UTR_NODE_366440897,Lê Văn Chí,tertiary,SOURCE_DIRECTED,43.000,SOURCE_LENGTH,30.000,0.086000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80357,DERIVED
UTR_EDGE_80358,UTR_NODE_5772276238,UTR_NODE_5772276237,Lê Văn Chí,tertiary,SOURCE_DIRECTED,2.000,SOURCE_LENGTH,30.000,0.004000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80358,DERIVED
UTR_EDGE_80359,UTR_NODE_5772276237,UTR_NODE_5772276238,Lê Văn Chí,tertiary,SOURCE_DIRECTED,2.000,SOURCE_LENGTH,30.000,0.004000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80359,DERIVED
UTR_EDGE_80360,UTR_NODE_5772276237,UTR_NODE_366378105,Lê Văn Chí,tertiary,SOURCE_DIRECTED,37.000,SOURCE_LENGTH,30.000,0.074000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80360,DERIVED
UTR_EDGE_80361,UTR_NODE_366378105,UTR_NODE_5772276237,Lê Văn Chí,tertiary,SOURCE_DIRECTED,37.000,SOURCE_LENGTH,30.000,0.074000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80361,DERIVED
UTR_EDGE_80362,UTR_NODE_366378105,UTR_NODE_5772276364,Lê Văn Chí,tertiary,SOURCE_DIRECTED,46.000,SOURCE_LENGTH,30.000,0.092000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,80362,DERIVED
